;CAL;DRHO;DTC;GR;NPHI;PE;RHOB;RT;SP;DEPT
223;19.1572;0.01413;140.1;65.9658;0.34203;3.2989;2.2895;0.9224;-43.9062;5854.9852
224;19.1572;0.01413;140.1;65.9658;0.34203;3.2989;2.2895;0.9224;-43.9062;5855.1376
225;19.7968;0.00976;137.1;66.7969;0.33698;3.3711;2.2881;0.9233;-45.8125;5855.29
226;19.7968;0.00976;137.1;66.7969;0.33698;3.3711;2.2881;0.9233;-45.8125;5855.4424
227;19.7968;0.00976;137.1;66.7969;0.33698;3.3711;2.2881;0.9233;-45.8125;5855.5948
228;19.7968;0.00976;137.1;66.7969;0.33698;3.3711;2.2881;0.9233;-45.8125;5855.7472
229;19.7481;0.00864;138.7;64.4707;0.33977;3.3789;2.2733;0.9243;-45.6875;5855.8996
230;19.7481;0.00864;138.7;64.4707;0.33977;3.3789;2.2733;0.9243;-45.6875;5856.052
231;19.7481;0.00864;138.7;64.4707;0.33977;3.3789;2.2733;0.9243;-45.6875;5856.2044
232;18.251;0.01161;138;63.1504;0.36118;3.3632;2.2589;0.9277;-46.375;5856.3568
233;18.251;0.01161;138;63.1504;0.36118;3.3632;2.2589;0.9277;-46.375;5856.5092
234;18.251;0.01161;138;63.1504;0.36118;3.3632;2.2589;0.9277;-46.375;5856.6616
235;19.1567;0.01855;137.5;61.8335;0.35219;3.3456;2.2592;0.936;-46.6875;5856.814
236;19.1567;0.01855;137.5;61.8335;0.35219;3.3456;2.2592;0.936;-46.6875;5856.9664
237;19.1567;0.01855;137.5;61.8335;0.35219;3.3456;2.2592;0.936;-46.6875;5857.1188
238;19.6894;0.03808;137.3;61.1362;0.36162;3.2618;2.2865;0.9468;-45.3125;5857.2712
239;19.6894;0.03808;137.3;61.1362;0.36162;3.2618;2.2865;0.9468;-45.3125;5857.4236
240;19.6894;0.03808;137.3;61.1362;0.36162;3.2618;2.2865;0.9468;-45.3125;5857.576
241;19.6894;0.03808;137.3;61.1362;0.36162;3.2618;2.2865;0.9468;-45.3125;5857.7284
242;20.8123;0.0472;132.2;60.5581;0.35628;3.2911;2.3132;0.9614;-43.8125;5857.8808
243;20.8123;0.0472;132.2;60.5581;0.35628;3.2911;2.3132;0.9614;-43.8125;5858.0332
244;20.8123;0.0472;132.2;60.5581;0.35628;3.2911;2.3132;0.9614;-43.8125;5858.1856
245;20.6416;0.05032;122.9;60.2148;0.34923;3.3439;2.3473;0.9839;-45.1562;5858.338
246;20.6416;0.05032;122.9;60.2148;0.34923;3.3439;2.3473;0.9839;-45.1562;5858.4904
247;20.6416;0.05032;122.9;60.2148;0.34923;3.3439;2.3473;0.9839;-45.1562;5858.6428
248;21.672;0.04887;111.5;61.6113;0.32925;3.4667;2.3702;1.0059;-45.2188;5858.7952
249;21.672;0.04887;111.5;61.6113;0.32925;3.4667;2.3702;1.0059;-45.2188;5858.9476
250;21.672;0.04887;111.5;61.6113;0.32925;3.4667;2.3702;1.0059;-45.2188;5859.1
251;21.7949;0.03596;112.7;59.6509;0.31033;3.4003;2.3625;1.0156;-44.9062;5859.2524
252;21.7949;0.03596;112.7;59.6509;0.31033;3.4003;2.3625;1.0156;-44.9062;5859.4048
253;21.7949;0.03596;112.7;59.6509;0.31033;3.4003;2.3625;1.0156;-44.9062;5859.5572
254;21.7949;0.03596;112.7;59.6509;0.31033;3.4003;2.3625;1.0156;-44.9062;5859.7096
255;20.3125;0.01956;115.6;60.2793;0.33214;3.2909;2.3215;1.0166;-45.5625;5859.862
256;20.3125;0.01956;115.6;60.2793;0.33214;3.2909;2.3215;1.0166;-45.5625;5860.0144
257;20.3125;0.01956;115.6;60.2793;0.33214;3.2909;2.3215;1.0166;-45.5625;5860.1668
258;19.5937;0.02022;126.1;60.8701;0.329;3.2129;2.3016;1.0146;-44.5625;5860.3192
259;19.5937;0.02022;126.1;60.8701;0.329;3.2129;2.3016;1.0146;-44.5625;5860.4716
260;19.5937;0.02022;126.1;60.8701;0.329;3.2129;2.3016;1.0146;-44.5625;5860.624
261;19.5644;0.02782;126.6;59.5859;0.33041;3.2227;2.2966;1.0098;-45.875;5860.7764
262;19.5644;0.02782;126.6;59.5859;0.33041;3.2227;2.2966;1.0098;-45.875;5860.9288
263;19.5644;0.02782;126.6;59.5859;0.33041;3.2227;2.2966;1.0098;-45.875;5861.0812
264;19.5644;0.02782;126.6;59.5859;0.33041;3.2227;2.2966;1.0098;-45.875;5861.2336
265;21.6856;0.02383;124.8;58.4224;0.32416;3.2402;2.2891;0.9966;-44.9688;5861.386
