,Unnamed: 0,GR,NPHI,RHOB,DEPT,RM,RT,FACIES,idx,zone,color,grmax,grmin,rhoma,rhofl,phish,VSHALE,PHID,PHIT,PHIE
196,196,104.7344625,,,196,,,,196,0,black,100,20,2.65,1.1,0.4,1.05918078125,,,
197,197,109.65541249999998,,,197,,,,197,0,black,100,20,2.65,1.1,0.4,1.1206926562499997,,,
198,198,122.03697499999998,,,198,,,,198,0,black,100,20,2.65,1.1,0.4,1.2754621874999998,,,
199,199,117.2375625,,,199,,,,199,0,black,100,20,2.65,1.1,0.4,1.21546953125,,,
200,200,111.94447499999998,,,200,,,,200,0,black,100,20,2.65,1.1,0.4,1.1493059374999999,,,
201,201,103.1290875,,,201,,,,201,0,black,100,20,2.65,1.1,0.4,1.03911359375,,,
202,202,113.390225,,,202,,,,202,0,black,100,20,2.65,1.1,0.4,1.1673778125,,,
203,203,98.96587625,,,203,,,,203,0,black,100,20,2.65,1.1,0.4,0.9870734531249999,,,
204,204,105.94615,,,204,,,,204,0,black,100,20,2.65,1.1,0.4,1.0743268750000001,,,
205,205,104.1666125,,,205,,,,205,0,black,100,20,2.65,1.1,0.4,1.05208265625,,,
206,206,104.6104875,,,206,,,,206,0,black,100,20,2.65,1.1,0.4,1.05763109375,,,
207,207,111.3520625,,,207,,,,207,0,black,100,20,2.65,1.1,0.4,1.14190078125,,,
208,208,115.8463625,,,208,,,,208,0,black,100,20,2.65,1.1,0.4,1.1980795312499999,,,
209,209,116.8827125,,,209,,,,209,0,black,100,20,2.65,1.1,0.4,1.21103390625,,,
210,210,113.177425,,,210,,,,210,0,black,100,20,2.65,1.1,0.4,1.1647178125,,,
211,211,113.06230000000002,,,211,,,,211,0,black,100,20,2.65,1.1,0.4,1.1632787500000004,,,
212,212,113.1132125,,,212,,,,212,0,black,100,20,2.65,1.1,0.4,1.16391515625,,,
213,213,111.17443749999998,,,213,,,,213,0,black,100,20,2.65,1.1,0.4,1.1396804687499997,,,
214,214,110.08552500000002,,,214,,,,214,0,black,100,20,2.65,1.1,0.4,1.1260690625000003,,,
215,215,106.906775,,,215,,,,215,0,black,100,20,2.65,1.1,0.4,1.0863346875,,,
216,216,109.7396125,,,216,,,,216,0,black,100,20,2.65,1.1,0.4,1.12174515625,,,
217,217,109.4156875,,,217,,,,217,0,black,100,20,2.65,1.1,0.4,1.11769609375,,,
218,218,113.74045,,,218,,,,218,0,black,100,20,2.65,1.1,0.4,1.1717556249999999,,,
